SMILES,mol_id,dis_sim,mw,rb,sim
BNC(=S)[SH]=C1CC(=S)N(CC2=CC=CC=C2)C(=S)P1,0,0.527850926,0.999908864,1,0.358490556
BNC(=S)[SH]=C1CC(=O)N(CC2=CC=CC=P2)C(=S)NN1,0,0.545056462,0.999800026,1,0.344827592
O=C1CC(=O)N(CC2CC2(Br)Br)C(=S)N1,0,0.54607445,0.999168038,1,0.476190478
O=C1CC(=O)N(CC2=BP[SH]=C=SPP2)C(=S)N1,0,0.617360413,0.972925007,1,0.431372553
O=C1CC(=O)N(CC2=BCP[SH]=C=[SH]PC2)C(=S)N1,0,0.632884741,0.821496844,1,0.431372553
O=C1CC(=O)N(CC(=O)NC(=S)NC(=S)N2CC2)C(=S)N1,0,0.698309958,0.545113504,1,0.392156869
O=C1CC(=O)N(CP2CCPCPCCNN2)C(=S)N1,0,0.702519298,0.91672796,1,0.377358496
O=C1CC(=O)N(CN2CCPCPCCNN2O)C(=S)N1,0,0.710698664,0.876345158,1,0.370370358
O=C1CC(=O)N(CP2CNPCBPCCNN2)C(=S)N1,0,0.714672267,0.688613415,1,0.338983059
O=C1CC(=PP)NC(=S)N1CC1=BPCCCCCP1,0,0.754839599,0.854204237,1,0.327272713
CN1CCc2cc(NC(=O)Nc3cc4c(cc3Cl)N(C)CC4)ccc21,1,0.503261447,0.999159873,1,0.596153855
CN1CCC2=C1S(C)=CC(NC(=O)Nc1ccc3c(c1)CCN3C)=C2,1,0.503261447,0.999988496,1,0.534482777
C(CCcPCN1CCc2)cc(NC(=O)Nc3cccnc3)ccc21,1,0.569815516,0.999993145,1,0.376811594
CN1CCC(C)(C)PC2=C(NC(=O)NC3=CC=CN=C3)CCCB=C21,1,0.606530666,0.999740124,1,0.441176474
CN1CCc2cc(NC(=O)NC3CCC(Br)C3O)ccc21,1,0.6569556,0.976111948,1,0.517241359
CN1CCc2cc(NC(=O)NC3CCC(Br)CC3)ccc21,1,0.66151464,0.916689754,1,0.545454562
CN1CCc2cc(NC(=O)Nc3cc4c(cc3O)N(C)CO4)c(O)cc21,1,0.665622473,0.9999789,1,0.400000006
O=C(NC1=C=PP=PPO1)NC1=CC=C2C(=C1)CCN2C,1,0.665992558,0.991637111,1,0.508196712
CN1CCCc2cc(NC(=O)NC3CCC(Br)CC3)ccc21,1,0.674711347,0.615264118,1,0.474576265
CN1CCc2cc(NC(=O)NC3CCSC3)c(Br)cc21,1,0.702519298,0.999875188,1,0.328358203
O=C(NC1=C=P=PPOO1)NC1=CC=C2C(=C1)CCN2Cl,1,0.718570769,0.875578821,1,0.373134315
Cc1cc2c(c(C)c1NC(=O)Nc1cc(C)c3c(c1)CCN3C)CCN2C,1,0.721013248,0.723474085,1,0.403225809
CN1CCc2cc(NC(=O)NC3CCCC3)ccc2CCCCCCC1,1,0.72445184,0.994022787,1,0.370967746
CN1CCc2cc(NC(=O)C3CCC(Br)CC3)c(F)cc21,1,0.761774838,0.99287343,1,0.349206358
CN1CCc2cc(NC(=O)C3(Br)CCNCC3)c(F)cc21,1,0.761774838,0.999783695,1,0.338461548
CN1CCc2cc(NC(=O)NC3CCN(C)CC3)c(Br)cc21,1,0.771668673,0.555458307,1,0.360655725
CN1CCc2cc(NC(=O)NC3(C)CCCC3)c(Br)cc21,1,0.809357703,0.916689754,1,0.349206358
CN1CCc2cc(NC(=O)C3(Br)CCOCC3)c(F)cc21,1,0.809357703,0.996993661,1,0.34375
CC(=O)N1CCCC(=CNc2cccnc2Cl)C(=CN)C(Cl)=C1,2,0.517665923,0.950270891,1,0.366197169
