SMILES,mol_id,qed,sim,gsk3,sa
CC(CN)Cc1cc(-c2c[nH]c3ccccc23)cc(N(C)C)n1,0,0.758940279,0.246753246,0.409999996,0.775902033
CC(CN)CN(C)c1cc(-c2c[nH]c3ccccc23)ccn1,0,0.759098887,0.230769232,0.529999971,0.787540913
c1cnc(CN2CCc3c([nH]cc3-c3ccccc3)C2)cn1,0,0.806153834,0.21794872,0.430000007,0.831908762
Cc1ccc(CN2CCc3c([nH]cc3-c3ccncc3)C2)nc1,0,0.806938469,0.212500006,0.49000001,0.819612503
CCOC(=O)Cn1sc(=O)n(-c2cccc(C(=O)OCC)c2)c1=O,1,0.713626087,0.216216221,0.829999983,0.817535698
CCOC(=O)CN=c1nc(-c2ccccc2)n(-c2ccc(O)cc2)s1,1,0.714142501,0.243243247,0.870000005,0.801076353
CCOC(=O)c1cc(-c2ccncc2)cc2[nH]nc(N)c12,1,0.719206989,0.205479458,0.639999986,0.844061911
CCOC(=O)c1cc(-c2ccccc2)cc2[nH]nc(N)c12,1,0.723060966,0.242857143,0.50999999,0.868801117
CCOC(=O)Cn1sc(=O)n(-c2cccc(C(=O)OC)c2)c1=O,1,0.732745111,0.210526317,0.720000029,0.815620601
CC(C)n1c(=O)n(-c2ccccc2)c2nc(NC3CC3)ncc21,2,0.804594994,0.202702701,0.400000006,0.843106151
Cc1cc(OCC2CCC(N)C2)c(NC(=O)Nc2cnc(C#N)cn2)cc1Cl,3,0.70498848,0.210526317,0.680000007,0.729225814
COc1cc(-c2n[nH]c3cc(C4CC4)c(=O)ccc23)cc(Cl)c1O,3,0.758040607,0.25,0.439999998,0.816475451
CCOc1nc(NC(=O)Cc2ccccc2OC)cc(N)c1C#N,3,0.841056526,0.200000003,0.810000002,0.852038503
CCOc1nc(NC2CC(=O)C=C(OC)C2)cc(N)c1C#N,3,0.849588096,0.215909094,0.469999999,0.714229047
COc1cc(-c2ccnc(NC)n2)cc(C2CCCCC2)c1O,3,0.894397795,0.200000003,0.540000021,0.847948492
Cc1cccn2c(-c3cc4c([nH]3)CCNC4=O)c(C)nc12,4,0.717764914,0.293333322,0.50999999,0.787257791
CN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(C)cc23)CC1,4,0.73588419,0.204545453,0.790000021,0.812280715
Cc1ccc2c(c1)nc(-c1nonc1N)n(C(=O)C1CCC1)c2=O,4,0.762703896,0.216867477,0.5,0.812936783
Cn1cc(C=C2C(=O)Nc3ccccc32)c(-c2ccco2)c1,5,0.73009938,0.230769232,0.5,0.815087736
CN1C(c2ccco2)CCC(c2ccnc3[nH]ccc23)C1,5,0.778570056,0.25757575,0.409999996,0.727497876
Cn1c(-c2ccco2)cc2cnc(NC3CC3)nc21,5,0.780480444,0.230769232,0.419999987,0.822982848
COc1ccc(N=Nc2c(O)n[nH]c2-c2ccccc2)cc1,6,0.707023442,0.205479458,0.699999988,0.83417356
COc1ccc(C(=O)c2sc(NC3CCCC3)nc2N)cc1,6,0.827251732,0.207792208,0.649999976,0.870217562
COc1ccc(N=C2C(=O)NC(=O)C2c2ccccc2)cc1,6,0.88246417,0.208333328,0.980000019,0.79617995
CC1CC=CC=C1CSc1nnc(-c2ccc3c(c2)OCCO3)o1,7,0.779074252,0.261904776,0.579999983,0.740682781
O=C1NC(=O)C(c2ccccc2)=C1Nc1ccc2c(c1)OCCO2,7,0.844670355,0.21794872,0.870000005,0.857942343
O=C1NC(=O)C(N2CCc3ccccc32)=C1c1ccc2c(c1)OCO2,7,0.849112928,0.23170732,0.839999974,0.826567113
O=C(Cc1ccccc1)c1ccc(N2CCOCC2)cc1O,7,0.881520092,0.200000003,0.409999996,0.896094739
CCCC(=O)Nc1n[nH]c(O)c1N1CCCN(C(=O)c2ccccc2Cl)CC1,8,0.709522128,0.261363626,0.529999971,0.827558398
Nc1nc(Nc2ccccc2)sc1C(=O)N1CCC(c2ccccc2)C1,8,0.731099427,0.214285716,0.699999988,0.820005715
CCCC(=O)Nc1n[nH]c(C)c1C1CCN(c2ccccc2Cl)CC1,8,0.825086772,0.30864197,0.519999981,0.844476879
CCCC(=O)Nc1n[nH]c(C)c1N1CCN(Cc2ccccc2)CC1,8,0.847928703,0.200000003,0.529999971,0.859290063
O=C1NC(=O)C(c2ccccc2Cl)C1=Nc1ccc(N2CCC2)cc1,8,0.862536252,0.207317069,0.769999981,0.777425468
O=C(Nc1n[nH]c2cccc(N3CCCC3)c12)C1CC1,8,0.900538564,0.243589744,0.479999989,0.855995715
O=C(Nc1n[nH]c2ccccc12)C1CCCN(C(=O)C2CC2)CC1,8,0.909634769,0.278481007,0.610000014,0.826702833
COc1ccc(-c2n[nH]cc2C(C)NCc2ccncc2)cc1F,9,0.727938294,0.368421048,0.5,0.776329398
O=C(Nc1ccccc1CCO)c1ccc(-c2ccncc2)cc1F,9,0.74708575,0.204819277,0.589999974,0.889673352
O=C(NC(CO)c1ccccc1)c1ccc(-c2ccncc2)cc1F,9,0.750976801,0.209876537,0.829999983,0.843411922
COc1ccc(-c2[nH]c3ccncc3c2CNC(C)C)cc1F,9,0.751437545,0.418918908,0.430000007,0.84098357
COc1cccc(CNc2ccc(-c3ccncc3)cc2F)c1,9,0.752842546,0.256410241,0.569999993,0.905072927
COc1ccc(-c2n[nH]cc2CNc2ccncn2)cc1F,9,0.757166386,0.333333343,0.529999971,0.807820916
COc1ccc(-c2nccc3[nH]ccc23)cc1CCN,9,0.763622105,0.237499997,0.50999999,0.857294917
COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1Cl,9,0.768494844,0.204545453,1,0.858482718
COc1ccc(-c2cnc3[nH]ccc3c2CCN)cc1F,9,0.774416149,0.311688304,0.49000001,0.835650861
COc1cccc(CNc2ccc(-c3ccncc3)cn2)c1,9,0.777144074,0.212500006,0.430000007,0.899250031
COc1ccc(-c2n[nH]c3cccnc23)cc1CN1CCCC1,9,0.803764582,0.253012061,0.430000007,0.857796609
COCc1ccc(-c2ccncc2NCCO)cc1OC,9,0.81829226,0.219512194,0.409999996,0.860483944
COc1ccc(C2=NNC(=O)C2=NNc2ccccc2)cc1F,9,0.849379838,0.291139245,0.949999988,0.831555247
COc1ccc(C=C2SC(=Nc3ccccc3)NC2=O)cc1F,9,0.87366873,0.243902445,0.790000021,0.817605138
COc1ccc(-c2ccncc2)cc1NC1CCCNCC1,9,0.908635795,0.207317069,0.529999971,0.826674759
COc1ccc(-c2ccncc2)cc1NC1CCCNC1=O,9,0.909647763,0.204819277,0.560000002,0.816362739
COc1ccc(-c2ccncc2)cc1NC(=O)C1CCNCC1,9,0.91108197,0.209876537,0.439999998,0.882667422
COc1ccc(-c2cc3c(cn2)CCNC3=O)cc1F,9,0.911299288,0.306666672,0.5,0.85775286
COc1ccc(-c2ccncc2)cc1C1CCCCN1,9,0.923677623,0.202531651,0.449999988,0.823998868
COc1ccc(-c2ccncc2)cc1NC(=O)C1CC1,9,0.926566601,0.205128208,0.409999996,0.913970411
COCc1ccc(-c2ccnc3c2CCNC3=O)cc1F,9,0.941773415,0.214285716,0.439999998,0.829236031
