SMILES,mol_id,qed,gsk3,jnk3,sa,sim
CCc1nc(-c2ccc(OC)cc2)[nH]c1-c1ccncc1,0,0.791708171,0.790000021,0.689999998,0.862035334,0.388888896
COc1cc(-c2ccnc(Nc3ccc(F)cc3)n2)ccc1OC,0,0.766945422,0.790000021,0.649999976,0.904893875,0.215384617
CCCCc1ccc(Nc2nccc(-c3cccnc3)n2)cc1,0,0.721365154,0.730000019,0.610000014,0.893600047,0.265625
COc1cc(Nc2nccc(-c3ccccc3)n2)ccc1OC,0,0.774348676,0.889999986,0.610000014,0.913705766,0.203125
CCc1ccc(-c2ccnc(Nc3ccc(OC)cc3)n2)cc1,0,0.755813122,0.74000001,0.600000024,0.913489461,0.344827592
COc1cc2ncnc(Nc3ccc(OC)cc3)c2cc1OC,0,0.778813779,0.680000007,0.600000024,0.903697908,0.254237294
CCCCc1ccc(Nc2nccc(-c3cncnc3)n2)cc1,0,0.74489367,0.769999981,0.589999974,0.873178303,0.269841284
CCOc1nc(NC(=O)Cc2ccc(OC)cc2)cc(N)c1C#N,0,0.841056526,0.75,0.589999974,0.858994663,0.219178081
CCOc1nc(NC(=O)c2ccc(OC)cc2)cc(N)c1C#N,0,0.87530458,0.660000026,0.589999974,0.866824508,0.225352108
COc1ccc(Nc2nccc(-c3ccncc3)n2)cc1Cl,0,0.790256798,0.74000001,0.529999971,0.88801229,0.212121218
COCc1cc(-c2ccnc(Nc3ccc(C)cc3)n2)c[nH]1,0,0.75336498,0.810000002,0.519999981,0.84331876,0.220588237
COc1ccc(-c2ccnc(NC3CCCC3)n2)c(CN)c1,0,0.887520015,0.569999993,0.519999981,0.862386346,0.214285716
COCCc1cc(-c2ccnc(Nc3ccc(C)cc3)n2)ccn1,0,0.748759329,0.779999971,0.50999999,0.870853961,0.223880604
CCc1ccc(Nc2nccc(-c3cccnc3)n2)cc1C,0,0.783795893,0.769999981,0.50999999,0.875838935,0.208955228
